frame_number	 sync_in1	 sync_in2	 time_stamp
1	 0	 1	 0.0163350105286
2	 0	 1	 0.0329229831696
3	 0	 1	 0.0495829582214
4	 0	 1	 0.0662548542023
5	 0	 1	 0.082927942276
6	 0	 1	 0.0995898246765
7	 0	 1	 0.116255998611
8	 0	 1	 0.132921934128
9	 0	 1	 0.14960193634
10	 0	 1	 0.166272878647
11	 0	 1	 0.182929992676
12	 0	 1	 0.199589967728
13	 0	 1	 0.216281890869
14	 0	 1	 0.232939958572
15	 0	 1	 0.249607801437
16	 0	 1	 0.266265869141
17	 0	 1	 0.28307890892
18	 0	 1	 0.299656867981
19	 0	 1	 0.316277980804
20	 0	 1	 0.332915782928
21	 0	 1	 0.349581956863
22	 0	 1	 0.36626291275
23	 0	 1	 0.38291478157
24	 0	 1	 0.39958691597
25	 0	 1	 0.416246891022
26	 0	 1	 0.432921886444
27	 0	 1	 0.449588775635
28	 0	 1	 0.46625494957
29	 0	 1	 0.483068943024
30	 0	 1	 0.499639987946
31	 0	 1	 0.516254901886
32	 0	 1	 0.532899856567
33	 0	 1	 0.549571990967
34	 0	 1	 0.566244840622
35	 0	 1	 0.582937002182
36	 0	 1	 0.599600791931
37	 0	 1	 0.616265773773
38	 0	 1	 0.632948875427
39	 0	 1	 0.649619817734
40	 0	 1	 0.666273832321
41	 0	 1	 0.683049917221
42	 0	 1	 0.699668884277
43	 0	 1	 0.716280937195
44	 0	 1	 0.732930898666
45	 0	 1	 0.749594926834
46	 0	 1	 0.766263008118
47	 0	 1	 0.782955884933
48	 0	 1	 0.799607992172
49	 0	 1	 0.816288948059
50	 0	 1	 0.833101987839
51	 0	 1	 0.849685907364
52	 0	 1	 0.866298913956
53	 0	 1	 0.882947921753
54	 0	 1	 0.899599790573
55	 0	 1	 0.916317939758
56	 0	 1	 0.932980775833
57	 0	 1	 0.949646949768
58	 0	 1	 0.966304779053
59	 0	 1	 0.982986927032
60	 0	 1	 0.999660968781
61	 0	 1	 1.01631879807
62	 0	 1	 1.03297996521
63	 0	 1	 1.04966497421
64	 0	 1	 1.06633400917
65	 0	 1	 1.08298778534
66	 0	 1	 1.09962201118
67	 0	 1	 1.1163418293
68	 0	 1	 1.13299894333
69	 0	 1	 1.14966082573
70	 0	 1	 1.16632795334
71	 0	 1	 1.1830098629
72	 0	 1	 1.19967579842
73	 0	 1	 1.21633887291
74	 0	 1	 1.23315000534
75	 0	 1	 1.24974179268
76	 0	 1	 1.26635289192
77	 0	 1	 1.28299188614
78	 0	 1	 1.2996468544
79	 0	 1	 1.31635379791
80	 0	 1	 1.33311486244
81	 0	 1	 1.34969997406
82	 0	 1	 1.36634087563
83	 0	 1	 1.38304686546
84	 0	 1	 1.39976000786
85	 0	 1	 1.41642189026
86	 0	 1	 1.43309092522
87	 0	 1	 1.44975399971
88	 0	 1	 1.46643686295
89	 0	 1	 1.48309993744
90	 0	 1	 1.49976301193
91	 0	 1	 1.5164308548
92	 0	 1	 1.53311085701
93	 0	 1	 1.54976987839
94	 0	 1	 1.56643486023
95	 0	 1	 1.58310294151
96	 0	 1	 1.5997838974
97	 0	 1	 1.61644697189
98	 0	 1	 1.63312077522
99	 0	 1	 1.64977383614
100	 0	 1	 1.66661000252
101	 0	 1	 1.68318891525
102	 0	 1	 1.69980096817
103	 0	 1	 1.71644997597
104	 0	 1	 1.73313498497
105	 0	 1	 1.74979996681
106	 0	 1	 1.76646184921
107	 0	 1	 1.78312587738
108	 0	 1	 1.79980492592
109	 0	 1	 1.81646895409
110	 0	 1	 1.83325600624
111	 0	 1	 1.84986877441
112	 0	 1	 1.8664958477
113	 0	 1	 1.88311696053
114	 0	 1	 1.89977788925
115	 0	 1	 1.91644787788
116	 0	 1	 1.93310785294
117	 0	 1	 1.94978880882
118	 0	 1	 1.96645379066
119	 0	 1	 1.98311591148
120	 0	 1	 1.99978780746
121	 0	 1	 2.01656198502
122	 0	 1	 2.03313994408
123	 0	 1	 2.0497918129
124	 0	 1	 2.06643390656
125	 0	 1	 2.08311390877
126	 0	 1	 2.09977293015
127	 0	 1	 2.11645293236
128	 0	 1	 2.13309979439
129	 0	 1	 2.14978289604
130	 0	 1	 2.166451931
131	 0	 1	 2.18311095238
132	 0	 1	 2.19977593422
133	 0	 1	 2.21645498276
134	 0	 1	 2.23311686516
135	 0	 1	 2.24978995323
136	 0	 1	 2.26659393311
137	 0	 1	 2.28318190575
138	 0	 1	 2.29980492592
139	 0	 1	 2.31646895409
140	 0	 1	 2.33312678337
141	 0	 1	 2.34980678558
142	 0	 1	 2.36661195755
143	 0	 1	 2.38317894936
144	 0	 1	 2.39981484413
145	 0	 1	 2.41649580002
146	 0	 1	 2.43315577507
147	 0	 1	 2.44982099533
148	 0	 1	 2.46648693085
149	 0	 1	 2.48317193985
150	 0	 1	 2.49983477592
151	 0	 1	 2.51649785042
152	 0	 1	 2.53317093849
153	 0	 1	 2.54984593391
154	 0	 1	 2.56665992737
155	 0	 1	 2.58321785927
156	 0	 1	 2.59984397888
157	 0	 1	 2.61652183533
158	 0	 1	 2.63318181038
159	 0	 1	 2.64985394478
160	 0	 1	 2.66651177406
161	 0	 1	 2.68333077431
162	 0	 1	 2.69991397858
163	 0	 1	 2.71653985977
164	 0	 1	 2.73318982124
165	 0	 1	 2.74985384941
166	 0	 1	 2.76668190956
167	 0	 1	 2.78322792053
168	 0	 1	 2.79986977577
169	 0	 1	 2.81653380394
170	 0	 1	 2.8332118988
171	 0	 1	 2.84987878799
172	 0	 1	 2.86653780937
173	 0	 1	 2.88320589066
174	 0	 1	 2.89988589287
175	 0	 1	 2.91655087471
176	 0	 1	 2.93335700035
177	 0	 1	 2.94993686676
178	 0	 1	 2.96657681465
179	 0	 1	 2.98322486877
180	 0	 1	 2.99988484383
181	 0	 1	 3.01662182808
182	 0	 1	 3.03388190269
183	 0	 1	 3.04989480972
184	 0	 1	 3.06654787064
185	 0	 1	 3.08319091797
186	 0	 1	 3.09989690781
187	 0	 1	 3.1165368557
188	 0	 1	 3.13323092461
189	 0	 1	 3.1498939991
190	 0	 1	 3.1665699482
191	 0	 1	 3.18323397636
192	 0	 1	 3.19989681244
193	 0	 1	 3.21656680107
194	 0	 1	 3.23324489594
195	 0	 1	 3.2499089241
196	 0	 1	 3.26656985283
197	 0	 1	 3.28324198723
198	 0	 1	 3.29990386963
199	 0	 1	 3.31662583351
200	 0	 1	 3.33328294754
201	 0	 1	 3.34994792938
202	 0	 1	 3.36661982536
203	 0	 1	 3.3832628727
204	 0	 1	 3.39992284775
205	 0	 1	 3.41658782959
206	 0	 1	 3.43324780464
207	 0	 1	 3.44993591309
208	 0	 1	 3.46659398079
209	 0	 1	 3.48325896263
210	 0	 1	 3.49992179871
211	 0	 1	 3.51660490036
212	 0	 1	 3.53327178955
213	 0	 1	 3.54993391037
214	 0	 1	 3.56659698486
215	 0	 1	 3.58327794075
216	 0	 1	 3.59994482994
217	 0	 1	 3.61661791801
218	 0	 1	 3.63327383995
219	 0	 1	 3.6499569416
220	 0	 1	 3.66662096977
221	 0	 1	 3.68328881264
222	 0	 1	 3.69994688034
223	 0	 1	 3.7166287899
224	 0	 1	 3.7332918644
225	 0	 1	 3.74995684624
226	 0	 1	 3.76662397385
227	 0	 1	 3.78330898285
228	 0	 1	 3.79996800423
229	 0	 1	 3.81663298607
230	 0	 1	 3.83329391479
231	 0	 1	 3.84996986389
232	 0	 1	 3.86664485931
233	 0	 1	 3.88331389427
234	 0	 1	 3.8999710083
235	 0	 1	 3.91664481163
236	 0	 1	 3.93332600594
237	 0	 1	 3.94998979568
238	 0	 1	 3.96664690971
239	 0	 1	 3.98331284523
240	 0	 1	 3.99999594688
241	 0	 1	 4.01672482491
242	 0	 1	 4.0333378315
243	 0	 1	 4.0499958992
244	 0	 1	 4.06663894653
245	 0	 1	 4.08329987526
246	 0	 1	 4.09996294975
247	 0	 1	 4.11662983894
248	 0	 1	 4.13330793381
249	 0	 1	 4.14997196198
250	 0	 1	 4.16663694382
251	 0	 1	 4.18329787254
252	 0	 1	 4.19995594025
253	 0	 1	 4.21664595604
254	 0	 1	 4.23331093788
255	 0	 1	 4.24995279312
256	 0	 1	 4.26665687561
257	 0	 1	 4.28331398964
258	 0	 1	 4.29997587204
259	 0	 1	 4.31664180756
260	 0	 1	 4.33332490921
261	 0	 1	 4.3499879837
262	 0	 1	 4.36664700508
263	 0	 1	 4.38337993622
264	 0	 1	 4.4000389576
265	 0	 1	 4.41670084
266	 0	 1	 4.43338489532
267	 0	 1	 4.45004987717
268	 0	 1	 4.46671891212
269	 0	 1	 4.48339796066
270	 0	 1	 4.50011181831
271	 0	 1	 4.51691293716
272	 0	 1	 4.53346395493
273	 0	 1	 4.55011892319
274	 0	 1	 4.56678891182
275	 0	 1	 4.58344697952
276	 0	 1	 4.60010790825
277	 0	 1	 4.61679387093
278	 0	 1	 4.63345384598
279	 0	 1	 4.65012192726
280	 0	 1	 4.66678380966
281	 0	 1	 4.68346381187
282	 0	 1	 4.70013284683
283	 0	 1	 4.71679377556
284	 0	 1	 4.73345994949
285	 0	 1	 4.75014591217
286	 0	 1	 4.76680493355
287	 0	 1	 4.78346800804
288	 0	 1	 4.80012989044
289	 0	 1	 4.81682085991
290	 0	 1	 4.83357691765
291	 0	 1	 4.85017490387
292	 0	 1	 4.86680984497
293	 0	 1	 4.88349294662
294	 0	 1	 4.90015292168
295	 0	 1	 4.91682100296
296	 0	 1	 4.93347978592
297	 0	 1	 4.95016479492
298	 0	 1	 4.96680688858
299	 0	 1	 4.98343586922
300	 0	 1	 5.00009799004
301	 0	 1	 5.01681995392
302	 0	 1	 5.03406977654
303	 0	 1	 5.0500998497
304	 0	 1	 5.06674480438
305	 0	 1	 5.0834209919
306	 0	 1	 5.1000828743
307	 0	 1	 5.11675000191
308	 0	 1	 5.1334168911
309	 0	 1	 5.15009593964
310	 0	 1	 5.16675782204
311	 0	 1	 5.1834218502
312	 0	 1	 5.20008683205
313	 0	 1	 5.21675896645
314	 0	 1	 5.23343682289
315	 0	 1	 5.25009894371
316	 0	 1	 5.26676487923
317	 0	 1	 5.28343081474
318	 0	 1	 5.30011677742
319	 0	 1	 5.31678080559
320	 0	 1	 5.33343982697
321	 0	 1	 5.35010480881
322	 0	 1	 5.36678600311
323	 0	 1	 5.38346982002
324	 0	 1	 5.40012788773
325	 0	 1	 5.41679096222
326	 0	 1	 5.43347096443
327	 0	 1	 5.45014095306
328	 0	 1	 5.46680283546
329	 0	 1	 5.48346686363
330	 0	 1	 5.50014781952
331	 0	 1	 5.51681494713
332	 0	 1	 5.53348088264
333	 0	 1	 5.55014395714
334	 0	 1	 5.56682300568
335	 0	 1	 5.58348798752
336	 0	 1	 5.60014891624
337	 0	 1	 5.61681985855
338	 0	 1	 5.63350081444
339	 0	 1	 5.65016293526
340	 0	 1	 5.66682481766
341	 0	 1	 5.68348884583
342	 0	 1	 5.70017385483
343	 0	 1	 5.71686387062
344	 0	 1	 5.73352384567
345	 0	 1	 5.7501938343
346	 0	 1	 5.76685786247
347	 0	 1	 5.78355383873
348	 0	 1	 5.80020284653
349	 0	 1	 5.81686997414
350	 0	 1	 5.83353281021
351	 0	 1	 5.85022187233
352	 0	 1	 5.86689186096
353	 0	 1	 5.88354992867
354	 0	 1	 5.90020680428
355	 0	 1	 5.91689682007
356	 0	 1	 5.93356084824
357	 0	 1	 5.95021986961
358	 0	 1	 5.96684193611
359	 0	 1	 5.983522892
360	 0	 1	 6.00018882751
361	 0	 1	 6.01692986488
362	 0	 1	 6.03413701057
363	 0	 1	 6.05021500587
364	 0	 1	 6.06685495377
365	 0	 1	 6.08351182938
366	 0	 1	 6.10018396378
367	 0	 1	 6.11687898636
368	 0	 1	 6.13353681564
369	 0	 1	 6.15020394325
370	 0	 1	 6.1668639183
371	 0	 1	 6.18352484703
372	 0	 1	 6.2002120018
373	 0	 1	 6.2168738842
374	 0	 1	 6.23353791237
375	 0	 1	 6.25023198128
376	 0	 1	 6.26703381538
377	 0	 1	 6.28360581398
378	 0	 1	 6.30022382736
379	 0	 1	 6.31688189507
380	 0	 1	 6.33356189728
